alleleid,ensdarg1,ensdarg2
sa42622,ENSDARG00000087563,
sa32565,ENSDARG00000091482,
sa35378,ENSDARG00000068422,ENSDARG00000101969
sa34258,ENSDARG00000063158,ENSDARG00000063158
sa39951,ENSDARG00000086155,
sa33066,ENSDARG00000086995,
sa41048,ENSDARG00000090275,
sa34611,ENSDARG00000076893,
sa33528,ENSDARG00000076082,ENSDARG00000076082
sa22980,ENSDARG00000091641,ENSDARG00000098113
sa44385,ENSDARG00000090070,
sa40038,ENSDARG00000031534,ENSDARG00000031534
sa44392,ENSDARG00000087230,
sa37396,ENSDARG00000060458,ENSDARG00000103139
sa43352,ENSDARG00000075321,
sa36000,ENSDARG00000086671,
sa40188,ENSDARG00000036852,ENSDARG00000036852
sa44377,ENSDARG00000094917,ENSDARG00000104638
sa39718,ENSDARG00000095531,ENSDARG00000098993
sa39183,ENSDARG00000074397,ENSDARG00000100757
sa37737,ENSDARG00000030766,ENSDARG00000100606
sa44195,ENSDARG00000030778,ENSDARG00000030778
sa34616,ENSDARG00000097900,ENSDARG00000097900
sa40584,ENSDARG00000059587,ENSDARG00000059587
sa39500,ENSDARG00000090420,
sa41047,ENSDARG00000090275,
sa24749,ENSDARG00000053220,
sa32561,ENSDARG00000087347,ENSDARG00000099178
sa39144,ENSDARG00000058863,
sa30688,ENSDARG00000090913,ENSDARG00000108060
sa44379,ENSDARG00000053220,
sa41892,ENSDARG00000089679,
sa42762,ENSDARG00000088018,ENSDARG00000100054
sa35970,ENSDARG00000040669,ENSDARG00000040669
sa31603,ENSDARG00000059503,ENSDARG00000059503
